?Время	O	H	L	C	V	OI	Состояние
18.12.2017 10:00:00	114800	115580	114800	115430	3839	0	Finished
18.12.2017 10:15:00	115450	115840	115450	115820	3404	0	Finished
18.12.2017 10:30:00	115830	115850	115660	115710	800	0	Finished
18.12.2017 10:45:00	115710	115800	115680	115770	677	0	Finished
18.12.2017 11:00:00	115780	115830	115660	115710	2286	0	Finished
18.12.2017 11:15:00	115720	116020	115720	115930	1889	0	Finished
18.12.2017 11:30:00	115920	115990	115870	115960	1499	0	Finished
18.12.2017 11:45:00	115960	116000	115780	115800	1775	0	Finished
18.12.2017 12:00:00	115800	115880	115740	115870	1099	0	Finished
18.12.2017 12:15:00	115860	115920	115800	115830	1077	0	Finished
18.12.2017 12:30:00	115840	115840	115700	115740	1126	0	Finished
18.12.2017 12:45:00	115760	115780	115590	115620	1378	0	Finished
18.12.2017 13:00:00	115630	115670	115510	115550	1529	0	Finished
18.12.2017 13:15:00	115530	115600	115470	115510	875	0	Finished
18.12.2017 13:30:00	115510	115510	115460	115470	712	0	Finished
18.12.2017 13:45:00	115460	115470	115340	115360	1126	0	Finished
18.12.2017 14:00:00	115360	115380	115300	115310	932	0	Finished
18.12.2017 14:15:00	115300	115300	115080	115160	2952	0	Finished
18.12.2017 14:30:00	115150	115250	115120	115180	1319	0	Finished
18.12.2017 14:45:00	115160	115200	115100	115140	601	0	Finished
18.12.2017 15:00:00	115130	115240	115080	115230	1712	0	Finished
18.12.2017 15:15:00	115240	115370	115200	115260	1838	0	Finished
18.12.2017 15:30:00	115260	115290	115160	115180	1364	0	Finished
18.12.2017 15:45:00	115170	115170	114700	114740	3715	0	Finished
18.12.2017 16:00:00	114740	114980	114660	114930	1715	0	Finished
18.12.2017 16:15:00	114930	115000	114800	114860	842	0	Finished
18.12.2017 16:30:00	114850	114900	114660	114740	807	0	Finished
18.12.2017 16:45:00	114730	114740	114410	114450	2434	0	Finished
18.12.2017 17:00:00	114440	114490	114230	114350	2195	0	Finished
18.12.2017 17:15:00	114350	114430	114250	114340	1401	0	Finished
18.12.2017 17:30:00	114360	114640	114340	114580	2035	0	Finished
18.12.2017 17:45:00	114580	114740	114550	114720	1412	0	Finished
18.12.2017 18:00:00	114740	115000	114660	114990	2992	0	Finished
18.12.2017 18:15:00	114980	115000	114850	114880	1351	0	Finished
18.12.2017 18:30:00	114890	114960	114790	114910	1840	0	Finished
18.12.2017 19:00:00	115000	115150	114920	115010	1767	0	Finished
18.12.2017 19:15:00	115010	115020	114800	114870	492	0	Finished
18.12.2017 19:30:00	114850	114940	114820	114940	146	0	Finished
18.12.2017 19:45:00	114950	115010	114910	114910	289	0	Finished
18.12.2017 20:00:00	114910	114950	114860	114860	136	0	Finished
18.12.2017 20:15:00	114890	114900	114760	114800	432	0	Finished
18.12.2017 20:30:00	114800	114820	114700	114790	351	0	Finished
18.12.2017 20:45:00	114780	114850	114740	114800	316	0	Finished
18.12.2017 21:00:00	114800	114840	114770	114770	78	0	Finished
18.12.2017 21:15:00	114780	114870	114780	114840	154	0	Finished
18.12.2017 21:30:00	114830	114830	114800	114830	26	0	Finished
18.12.2017 21:45:00	114810	114810	114740	114750	81	0	Finished
18.12.2017 22:00:00	114750	114830	114740	114820	380	0	Finished
18.12.2017 22:15:00	114820	114850	114770	114830	64	0	Finished
18.12.2017 22:30:00	114820	114850	114810	114820	38	0	Finished
18.12.2017 22:45:00	114820	114860	114810	114820	92	0	Finished
18.12.2017 23:00:00	114830	114850	114820	114840	104	0	Finished
18.12.2017 23:15:00	114840	114840	114800	114800	128	0	Finished
18.12.2017 23:30:00	114790	114880	114780	114840	242	0	Finished
18.12.2017 23:45:00	114850	114880	114730	114730	120	0	Finished
19.12.2017 10:00:00	114880	115230	114780	115100	3632	0	Finished
19.12.2017 10:15:00	115090	115320	115050	115100	2056	0	Finished
19.12.2017 10:30:00	115080	115090	114910	114930	1619	0	Finished
19.12.2017 10:45:00	114950	114980	114780	114850	1781	0	Finished
19.12.2017 11:00:00	114850	114870	114550	114700	3376	0	Finished
19.12.2017 11:15:00	114700	114850	114660	114720	1913	0	Finished
19.12.2017 11:30:00	114730	114840	114510	114560	2034	0	Finished
19.12.2017 11:45:00	114560	114600	114440	114510	1899	0	Finished
19.12.2017 12:00:00	114500	114560	114440	114550	4528	0	Finished
19.12.2017 12:15:00	114540	114680	114470	114550	3014	0	Finished
19.12.2017 12:30:00	114540	114580	114510	114530	1074	0	Finished
19.12.2017 12:45:00	114520	114580	114290	114410	2758	0	Finished
19.12.2017 13:00:00	114410	114420	114350	114380	1026	0	Finished
19.12.2017 13:15:00	114380	114420	114270	114300	1920	0	Finished
19.12.2017 13:30:00	114290	114430	114290	114430	4966	0	Finished
19.12.2017 13:45:00	114430	114450	114310	114340	7147	0	Finished
19.12.2017 14:00:00	114320	114390	114280	114320	6675	0	Finished
19.12.2017 14:15:00	114310	114350	114120	114250	5233	0	Finished
19.12.2017 14:30:00	114240	114260	114020	114070	2872	0	Finished
19.12.2017 14:45:00	114060	114230	114000	114220	3750	0	Finished
19.12.2017 15:00:00	114220	114220	113900	113970	4682	0	Finished
19.12.2017 15:15:00	113950	114010	113840	114000	2730	0	Finished
19.12.2017 15:30:00	113990	114210	113980	114200	1575	0	Finished
19.12.2017 15:45:00	114200	114260	114140	114200	1294	0	Finished
19.12.2017 16:00:00	114190	114270	114140	114250	1126	0	Finished
19.12.2017 16:15:00	114250	114470	114230	114340	2725	0	Finished
19.12.2017 16:30:00	114340	114390	114270	114280	2240	0	Finished
19.12.2017 16:45:00	114270	114360	114270	114340	1488	0	Finished
19.12.2017 17:00:00	114340	114440	114270	114310	2720	0	Finished
19.12.2017 17:15:00	114310	114330	114130	114170	2812	0	Finished
19.12.2017 17:30:00	114160	114200	114050	114090	3818	0	Finished
19.12.2017 17:45:00	114090	114190	113920	113960	4149	0	Finished
19.12.2017 18:00:00	113950	114140	113860	114100	3030	0	Finished
19.12.2017 18:15:00	114090	114100	113920	114010	1534	0	Finished
