?Время	O	H	L	C	V	OI	Состояние
18.12.2017 11:55:00	115260	115260	115260	115260	1	0	Finished
18.12.2017 13:00:00	115000	115000	115000	115000	1	0	Finished
18.12.2017 17:00:00	113850	113850	113850	113850	1	0	Finished
18.12.2017 17:10:00	114030	114030	114030	114030	1	0	Finished
19.12.2017 10:10:00	114800	114800	114800	114800	2	0	Finished
19.12.2017 12:55:00	113810	113810	113810	113810	1	0	Finished
19.12.2017 14:15:00	113700	113700	113650	113650	2	0	Finished
19.12.2017 14:55:00	113600	113600	113600	113600	1	0	Finished
19.12.2017 18:40:00	113270	113270	113270	113270	2	0	Finished
19.12.2017 21:00:00	113370	113370	113370	113370	1	0	Finished
19.12.2017 21:40:00	113200	113200	113200	113200	1	0	Finished
19.12.2017 21:45:00	113200	113200	113200	113200	1	0	Finished
20.12.2017 10:40:00	112810	112810	112810	112810	1	0	Finished
20.12.2017 15:00:00	113110	113110	113110	113110	1	0	Finished
20.12.2017 17:55:00	112860	112860	112860	112860	1	0	Finished
20.12.2017 18:05:00	113130	113130	113130	113130	1	0	Finished
20.12.2017 19:50:00	113120	113120	113120	113120	1	0	Finished
20.12.2017 20:00:00	113060	113060	113060	113060	1	0	Finished
20.12.2017 23:25:00	113570	113580	113570	113580	12	0	Finished
21.12.2017 10:00:00	113160	113160	113160	113160	1	0	Finished
21.12.2017 10:15:00	113360	113360	113360	113360	1	0	Finished
21.12.2017 10:50:00	113200	113200	113200	113200	1	0	Finished
21.12.2017 11:00:00	113160	113160	113160	113160	1	0	Finished
21.12.2017 11:05:00	113070	113070	113050	113050	2	0	Finished
21.12.2017 11:35:00	113190	113200	113190	113200	2	0	Finished
21.12.2017 11:40:00	113000	113000	112900	112900	2	0	Finished
21.12.2017 11:45:00	112900	113000	112900	113000	20	0	Finished
21.12.2017 12:50:00	112650	112650	112530	112530	19	0	Finished
21.12.2017 13:05:00	112520	112520	112500	112500	2	0	Finished
21.12.2017 14:20:00	112810	112810	112810	112810	1	0	Finished
21.12.2017 15:00:00	112890	112890	112890	112890	5	0	Finished
21.12.2017 15:30:00	112700	112700	112700	112700	1	0	Finished
21.12.2017 15:45:00	112620	112620	112620	112620	10	0	Finished
21.12.2017 15:55:00	112700	112700	112700	112700	10	0	Finished
21.12.2017 16:00:00	112700	112800	112610	112610	31	0	Finished
21.12.2017 16:05:00	112840	112840	112840	112840	1	0	Finished
21.12.2017 16:10:00	112770	112770	112770	112770	3	0	Finished
21.12.2017 16:15:00	112770	112770	112730	112770	41	0	Finished
21.12.2017 16:20:00	112720	112760	112710	112710	4	0	Finished
21.12.2017 16:25:00	112760	112760	112700	112700	19	0	Finished
21.12.2017 16:30:00	112700	112730	112650	112650	37	0	Finished
21.12.2017 16:35:00	112600	112600	112560	112560	3	0	Finished
21.12.2017 16:40:00	112550	112550	112530	112550	4	0	Finished
21.12.2017 16:45:00	112550	112550	112550	112550	5	0	Finished
21.12.2017 16:50:00	112400	112400	112400	112400	8	0	Finished
21.12.2017 17:00:00	112480	112480	112460	112460	3	0	Finished
21.12.2017 17:05:00	112480	112480	112480	112480	1	0	Finished
21.12.2017 17:20:00	112500	112500	112500	112500	10	0	Finished
21.12.2017 18:00:00	112500	112500	112450	112500	20	0	Finished
21.12.2017 18:15:00	112450	112470	112450	112450	18	0	Finished
21.12.2017 18:20:00	112500	112500	112500	112500	6	0	Finished
21.12.2017 18:25:00	112450	112450	112450	112450	1	0	Finished
21.12.2017 18:30:00	112450	112590	112410	112480	26	0	Finished
21.12.2017 18:35:00	112580	112600	112580	112600	10	0	Finished
21.12.2017 19:05:00	112510	112510	112470	112470	8	0	Finished
21.12.2017 19:10:00	112510	112520	112510	112520	5	0	Finished
21.12.2017 19:15:00	112510	112590	112510	112550	7	0	Finished
21.12.2017 19:20:00	112520	112580	112500	112580	8	0	Finished
21.12.2017 19:25:00	112670	112780	112670	112670	8	0	Finished
21.12.2017 19:30:00	112640	112670	112640	112670	2	0	Finished
21.12.2017 19:35:00	112660	112730	112660	112730	3	0	Finished
21.12.2017 19:40:00	112630	112630	112630	112630	1	0	Finished
21.12.2017 19:45:00	112620	112620	112570	112570	3	0	Finished
21.12.2017 19:55:00	112530	112530	112530	112530	2	0	Finished
21.12.2017 20:00:00	112560	112600	112560	112600	15	0	Finished
21.12.2017 20:10:00	112620	112640	112620	112620	5	0	Finished
21.12.2017 20:15:00	112630	112650	112630	112640	7	0	Finished
21.12.2017 20:20:00	112650	112650	112650	112650	5	0	Finished
21.12.2017 20:30:00	112660	112670	112660	112670	2	0	Finished
21.12.2017 20:40:00	112720	112720	112720	112720	1	0	Finished
21.12.2017 20:45:00	112700	112700	112700	112700	1	0	Finished
21.12.2017 20:50:00	112690	112690	112690	112690	1	0	Finished
21.12.2017 21:15:00	112690	112740	112690	112740	3	0	Finished
21.12.2017 21:25:00	112710	112710	112710	112710	2	0	Finished
21.12.2017 21:40:00	112670	112730	112670	112730	3	0	Finished
21.12.2017 21:45:00	112750	112750	112750	112750	1	0	Finished
21.12.2017 22:05:00	112710	112740	112700	112740	12	0	Finished
21.12.2017 22:15:00	112680	112680	112680	112680	3	0	Finished
21.12.2017 22:20:00	112670	112670	112670	112670	1	0	Finished
21.12.2017 23:00:00	112740	112760	112740	112750	5	0	Finished
21.12.2017 23:05:00	112750	112750	112750	112750	9	0	Finished
21.12.2017 23:15:00	112740	112740	112740	112740	10	0	Finished
21.12.2017 23:35:00	112720	112720	112710	112710	2	0	Finished
22.12.2017 10:00:00	112770	112970	112770	112970	2	0	Finished
22.12.2017 10:10:00	112980	112990	112880	112880	4	0	Finished
22.12.2017 10:15:00	112980	113000	112980	113000	5	0	Finished
22.12.2017 10:20:00	112930	112930	112900	112900	2	0	Finished
22.12.2017 10:25:00	112800	112800	112800	112800	1	0	Finished
22.12.2017 10:40:00	112890	112890	112890	112890	25	0	Finished
22.12.2017 10:50:00	112880	112880	112880	112880	5	0	Finished
22.12.2017 10:55:00	112880	112880	112880	112880	3	0	Finished
22.12.2017 11:00:00	113000	113000	113000	113000	1	0	Finished
22.12.2017 11:20:00	113090	113100	113090	113100	2	0	Finished
22.12.2017 11:25:00	113150	113150	113150	113150	1	0	Finished
22.12.2017 11:35:00	113130	113140	113130	113140	12	0	Finished
22.12.2017 11:40:00	113090	113140	113090	113140	16	0	Finished
22.12.2017 11:50:00	113140	113140	113130	113140	94	0	Finished
22.12.2017 11:55:00	113140	113160	113140	113160	14	0	Finished
22.12.2017 12:00:00	113260	113260	113260	113260	6	0	Finished
22.12.2017 12:05:00	113210	113210	113210	113210	3	0	Finished
22.12.2017 12:10:00	113190	113240	113190	113240	22	0	Finished
