?Время	O	H	L	C	V	OI	Состояние
18.12.2017 13:00:00	113640	113640	113640	113640	1	0	Finished
19.12.2017 20:00:00	112620	112620	112620	112620	1	0	Finished
20.12.2017 11:00:00	112350	112350	112150	112150	4	0	Finished
20.12.2017 12:00:00	112150	112150	112150	112150	1	0	Finished
21.12.2017 19:00:00	112390	112390	112390	112390	1	0	Finished
21.12.2017 20:00:00	112350	112350	112350	112350	1	0	Finished
21.12.2017 22:00:00	112220	112220	112220	112220	2	0	Finished
22.12.2017 10:00:00	112410	112410	112410	112410	1	0	Finished
22.12.2017 12:00:00	112820	112820	112820	112820	2	0	Finished
22.12.2017 19:00:00	113190	113190	113190	113190	1	0	Finished
25.12.2017 10:00:00	113110	113190	113110	113190	5	0	Finished
25.12.2017 12:00:00	112750	112750	112750	112750	1	0	Finished
26.12.2017 13:00:00	112700	112700	112700	112700	2	0	Finished
26.12.2017 16:00:00	113240	113240	113240	113240	1	0	Finished
26.12.2017 17:00:00	113380	113380	113380	113380	1	0	Finished
26.12.2017 23:00:00	113630	114640	113630	114640	66	0	Finished
27.12.2017 18:00:00	114100	114100	114100	114100	50	0	Finished
27.12.2017 19:00:00	114100	114500	112950	112950	67	0	Finished
27.12.2017 23:00:00	113950	113980	113950	113980	15	0	Finished
28.12.2017 18:00:00	113780	113780	113780	113780	60	0	Finished
28.12.2017 21:00:00	112880	112880	112870	112870	52	0	Finished
28.12.2017 23:00:00	112900	112900	112900	112900	38	0	Finished
29.12.2017 10:00:00	113680	113950	113680	113950	100	0	Finished
29.12.2017 14:00:00	113000	113000	112800	112800	90	0	Finished
29.12.2017 15:00:00	112600	112600	112600	112600	50	0	Finished
29.12.2017 16:00:00	112700	112700	112700	112700	65	0	Finished
29.12.2017 17:00:00	113770	113980	113770	113980	150	0	Finished
29.12.2017 18:00:00	113250	114000	113250	114000	30	0	Finished
03.01.2018 10:00:00	114000	114000	114000	114000	1	0	Finished
03.01.2018 19:00:00	115970	116070	115970	116070	3	0	Finished
03.01.2018 20:00:00	116310	116510	116310	116510	3	0	Finished
03.01.2018 21:00:00	116920	116920	116920	116920	1	0	Finished
04.01.2018 12:00:00	117330	117710	117330	117710	50	0	Finished
