<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],15,20180626,160000,109490.000000,109500.000000,109490.000000,109500.000000,2.000000
RIZ8 [SPBFUT],15,20180626,164500,109500.000000,109500.000000,109350.000000,109350.000000,3.000000
RIZ8 [SPBFUT],15,20180626,170000,109300.000000,109300.000000,109300.000000,109300.000000,1.000000
RIZ8 [SPBFUT],15,20180626,171500,109350.000000,109350.000000,109300.000000,109300.000000,5.000000
RIZ8 [SPBFUT],15,20180626,173000,109400.000000,109400.000000,109400.000000,109400.000000,1.000000
RIZ8 [SPBFUT],15,20180626,181500,109470.000000,109470.000000,109470.000000,109470.000000,1.000000
RIZ8 [SPBFUT],15,20180626,194500,110150.000000,110150.000000,110150.000000,110150.000000,2.000000
RIZ8 [SPBFUT],15,20180626,201500,110080.000000,110080.000000,110080.000000,110080.000000,2.000000
RIZ8 [SPBFUT],15,20180627,104500,109530.000000,109530.000000,109530.000000,109530.000000,1.000000
RIZ8 [SPBFUT],15,20180627,111500,109480.000000,109480.000000,109370.000000,109370.000000,2.000000
RIZ8 [SPBFUT],15,20180627,114500,109030.000000,109030.000000,109030.000000,109030.000000,1.000000
RIZ8 [SPBFUT],15,20180627,120000,108740.000000,108800.000000,108740.000000,108800.000000,10.000000
RIZ8 [SPBFUT],15,20180627,124500,109000.000000,109000.000000,109000.000000,109000.000000,1.000000
RIZ8 [SPBFUT],15,20180627,130000,109200.000000,109200.000000,109200.000000,109200.000000,1.000000
RIZ8 [SPBFUT],15,20180627,144500,110010.000000,110240.000000,110010.000000,110240.000000,2.000000
RIZ8 [SPBFUT],15,20180627,153000,110300.000000,110300.000000,110220.000000,110280.000000,14.000000
RIZ8 [SPBFUT],15,20180627,160000,110450.000000,110450.000000,110450.000000,110450.000000,5.000000
RIZ8 [SPBFUT],15,20180627,170000,110450.000000,110450.000000,110450.000000,110450.000000,1.000000
RIZ8 [SPBFUT],15,20180627,171500,110780.000000,111000.000000,110780.000000,111000.000000,6.000000
RIZ8 [SPBFUT],15,20180627,173000,111000.000000,111150.000000,111000.000000,111150.000000,15.000000
RIZ8 [SPBFUT],15,20180627,174500,111200.000000,111200.000000,111200.000000,111200.000000,6.000000
RIZ8 [SPBFUT],15,20180627,180000,111110.000000,111110.000000,111110.000000,111110.000000,2.000000
RIZ8 [SPBFUT],15,20180627,181500,110850.000000,110850.000000,110850.000000,110850.000000,1.000000
RIZ8 [SPBFUT],15,20180627,193000,110450.000000,110570.000000,110450.000000,110570.000000,3.000000
RIZ8 [SPBFUT],15,20180627,194500,110590.000000,110590.000000,110590.000000,110590.000000,1.000000
RIZ8 [SPBFUT],15,20180627,200000,110560.000000,110560.000000,110550.000000,110550.000000,3.000000
RIZ8 [SPBFUT],15,20180627,201500,110500.000000,110500.000000,110500.000000,110500.000000,1.000000
RIZ8 [SPBFUT],15,20180627,214500,110000.000000,110000.000000,110000.000000,110000.000000,12.000000
RIZ8 [SPBFUT],15,20180627,220000,109970.000000,109970.000000,109970.000000,109970.000000,1.000000
RIZ8 [SPBFUT],15,20180627,223000,110160.000000,110230.000000,110160.000000,110230.000000,3.000000
RIZ8 [SPBFUT],15,20180627,233000,109810.000000,109810.000000,109810.000000,109810.000000,2.000000
RIZ8 [SPBFUT],15,20180628,100000,109530.000000,110330.000000,109530.000000,110200.000000,5.000000
RIZ8 [SPBFUT],15,20180628,110000,110600.000000,110600.000000,110600.000000,110600.000000,10.000000
RIZ8 [SPBFUT],15,20180628,131500,110550.000000,110590.000000,110550.000000,110590.000000,2.000000
RIZ8 [SPBFUT],15,20180628,140000,110600.000000,110600.000000,110600.000000,110600.000000,3.000000
RIZ8 [SPBFUT],15,20180628,141500,110610.000000,110780.000000,110610.000000,110780.000000,4.000000
RIZ8 [SPBFUT],15,20180628,143000,110510.000000,110510.000000,110510.000000,110510.000000,1.000000
RIZ8 [SPBFUT],15,20180628,144500,110210.000000,110210.000000,110210.000000,110210.000000,1.000000
RIZ8 [SPBFUT],15,20180628,150000,110400.000000,110400.000000,110400.000000,110400.000000,1.000000
RIZ8 [SPBFUT],15,20180628,153000,110030.000000,110030.000000,110030.000000,110030.000000,1.000000
RIZ8 [SPBFUT],15,20180628,164500,110050.000000,110050.000000,110050.000000,110050.000000,1.000000
RIZ8 [SPBFUT],15,20180628,170000,110580.000000,110580.000000,110580.000000,110580.000000,1.000000
RIZ8 [SPBFUT],15,20180628,180000,110030.000000,110030.000000,110030.000000,110030.000000,1.000000
RIZ8 [SPBFUT],15,20180628,183000,110550.000000,110620.000000,110550.000000,110620.000000,2.000000
RIZ8 [SPBFUT],15,20180628,223000,110940.000000,110940.000000,110940.000000,110940.000000,1.000000
RIZ8 [SPBFUT],15,20180628,224500,111100.000000,111100.000000,111100.000000,111100.000000,1.000000
RIZ8 [SPBFUT],15,20180628,233000,111100.000000,111100.000000,111100.000000,111100.000000,4.000000
RIZ8 [SPBFUT],15,20180629,100000,111550.000000,111570.000000,111550.000000,111570.000000,4.000000
RIZ8 [SPBFUT],15,20180629,103000,111970.000000,111970.000000,111970.000000,111970.000000,3.000000
RIZ8 [SPBFUT],15,20180629,104500,112000.000000,112010.000000,112000.000000,112010.000000,4.000000
