?Время	O	H	L	C	V	OI	Состояние
17.12.2018 10:00:00	110760	111290	110760	111240	15819	0	Finished
17.12.2018 10:15:00	111230	111630	111130	111550	19732	0	Finished
17.12.2018 10:30:00	111540	111630	111380	111430	11091	0	Finished
17.12.2018 10:45:00	111430	111590	111420	111490	5233	0	Finished
17.12.2018 11:00:00	111480	111540	111280	111380	9361	0	Finished
17.12.2018 11:15:00	111370	111600	111330	111380	8564	0	Finished
17.12.2018 11:30:00	111380	111530	111320	111510	5692	0	Finished
17.12.2018 11:45:00	111510	111880	111480	111790	19020	0	Finished
17.12.2018 12:00:00	111800	111860	111730	111780	9850	0	Finished
17.12.2018 12:15:00	111790	111940	111760	111820	8478	0	Finished
17.12.2018 12:30:00	111820	111920	111770	111780	5242	0	Finished
17.12.2018 12:45:00	111780	111900	111760	111800	3789	0	Finished
17.12.2018 13:00:00	111810	112140	111790	112050	11649	0	Finished
17.12.2018 13:15:00	112050	112270	112030	112190	10222	0	Finished
17.12.2018 13:30:00	112200	112260	112090	112160	5711	0	Finished
17.12.2018 13:45:00	112160	112190	112090	112150	5353	0	Finished
17.12.2018 14:00:00	112150	112160	112020	112060	4305	0	Finished
17.12.2018 14:15:00	112040	112100	111940	111990	4402	0	Finished
17.12.2018 14:30:00	111990	112030	111860	111940	5396	0	Finished
17.12.2018 14:45:00	111940	112150	111930	112070	5894	0	Finished
17.12.2018 15:00:00	112080	112170	112020	112080	4457	0	Finished
17.12.2018 15:15:00	112060	112120	111930	112040	5064	0	Finished
17.12.2018 15:30:00	112030	112120	112000	112040	3246	0	Finished
17.12.2018 15:45:00	112050	112230	112030	112140	8192	0	Finished
17.12.2018 16:00:00	112150	112180	112040	112060	3716	0	Finished
17.12.2018 16:15:00	112060	112090	111810	111840	7295	0	Finished
17.12.2018 16:30:00	111840	111870	111630	111700	9227	0	Finished
17.12.2018 16:45:00	111690	111800	111660	111760	4602	0	Finished
17.12.2018 17:00:00	111760	111790	111660	111760	4927	0	Finished
17.12.2018 17:15:00	111760	111800	111350	111380	12141	0	Finished
17.12.2018 17:30:00	111380	111440	110760	110770	34998	0	Finished
17.12.2018 17:45:00	110760	110960	110750	110900	16265	0	Finished
17.12.2018 18:00:00	110910	110940	110610	110790	16165	0	Finished
17.12.2018 18:15:00	110790	111160	110700	111140	17640	0	Finished
17.12.2018 18:30:00	111150	111170	110700	111080	16135	0	Finished
17.12.2018 19:00:00	111170	111400	111030	111250	11329	0	Finished
17.12.2018 19:15:00	111260	111350	110890	110980	6844	0	Finished
17.12.2018 19:30:00	110980	111010	110720	110780	7159	0	Finished
17.12.2018 19:45:00	110780	111010	110740	110980	4690	0	Finished
17.12.2018 20:00:00	110990	111050	110840	110880	3701	0	Finished
17.12.2018 20:15:00	110870	111120	110860	111010	3940	0	Finished
17.12.2018 20:30:00	110990	110990	110760	110810	4238	0	Finished
17.12.2018 20:45:00	110800	110860	110540	110570	9673	0	Finished
17.12.2018 21:00:00	110570	110710	110550	110680	4721	0	Finished
17.12.2018 21:15:00	110680	110730	110580	110610	3167	0	Finished
17.12.2018 21:30:00	110620	110680	110390	110510	9108	0	Finished
17.12.2018 21:45:00	110510	110580	110400	110490	3507	0	Finished
17.12.2018 22:00:00	110480	110510	110340	110460	5316	0	Finished
17.12.2018 22:15:00	110460	110460	110270	110380	5679	0	Finished
17.12.2018 22:30:00	110390	110460	110220	110300	5569	0	Finished
17.12.2018 22:45:00	110300	110370	110240	110360	3763	0	Finished
17.12.2018 23:00:00	110350	110510	110280	110380	3381	0	Finished
17.12.2018 23:15:00	110370	110410	110110	110180	3650	0	Finished
17.12.2018 23:30:00	110190	110230	109970	110020	4899	0	Finished
17.12.2018 23:45:00	110010	110060	109950	109950	2441	0	Finished
18.12.2018 10:00:00	110080	110250	109570	109710	20769	0	Finished
18.12.2018 10:15:00	109700	109800	109460	109490	18478	0	Finished
18.12.2018 10:30:00	109480	109790	109440	109670	12437	0	Finished
18.12.2018 10:45:00	109670	109930	109650	109900	10260	0	Finished
18.12.2018 11:00:00	109900	110070	109670	109880	14796	0	Finished
18.12.2018 11:15:00	109890	110010	109720	109780	10734	0	Finished
18.12.2018 11:30:00	109780	110160	109780	109880	9594	0	Finished
18.12.2018 11:45:00	109880	109980	109650	109670	8542	0	Finished
18.12.2018 12:00:00	109670	109680	109030	109400	28920	0	Finished
18.12.2018 12:15:00	109410	109510	109260	109270	8891	0	Finished
18.12.2018 12:30:00	109260	109580	109250	109460	10584	0	Finished
18.12.2018 12:45:00	109470	110010	109390	109740	16792	0	Finished
18.12.2018 13:00:00	109740	109810	109540	109610	6921	0	Finished
18.12.2018 13:15:00	109610	109790	109510	109790	6090	0	Finished
18.12.2018 13:30:00	109780	109820	109310	109370	9451	0	Finished
18.12.2018 13:45:00	109370	109490	109290	109420	6851	0	Finished
18.12.2018 14:00:00	109420	109580	109390	109530	6125	0	Finished
18.12.2018 14:15:00	109530	109580	109410	109490	4956	0	Finished
18.12.2018 14:30:00	109490	109550	109330	109450	4477	0	Finished
18.12.2018 14:45:00	109460	109530	109230	109310	5985	0	Finished
18.12.2018 15:00:00	109300	109390	109180	109250	6166	0	Finished
18.12.2018 15:15:00	109240	109390	109190	109290	3775	0	Finished
18.12.2018 15:30:00	109290	109560	109280	109490	5613	0	Finished
18.12.2018 15:45:00	109490	110020	109460	109830	28207	0	Finished
18.12.2018 16:00:00	109830	109970	109740	109830	7067	0	Finished
18.12.2018 16:15:00	109820	110150	109800	110040	10856	0	Finished
18.12.2018 16:30:00	110060	110070	109550	109590	10700	0	Finished
18.12.2018 16:45:00	109580	109860	109550	109800	10783	0	Finished
18.12.2018 17:00:00	109810	110120	109680	110060	10346	0	Finished
18.12.2018 17:15:00	110070	110100	109820	109850	8495	0	Finished
18.12.2018 17:30:00	109860	109960	109760	109910	12310	0	Finished
18.12.2018 17:45:00	109920	110350	109920	110240	20526	0	Finished
18.12.2018 18:00:00	110250	110360	110060	110170	15089	0	Finished
18.12.2018 18:15:00	110170	110380	110050	110320	11257	0	Finished
18.12.2018 18:30:00	110320	110540	110120	110230	17135	0	Finished
18.12.2018 19:00:00	110040	110060	108920	109830	27627	0	Finished
18.12.2018 19:15:00	109850	109850	109290	109450	13693	0	Finished
18.12.2018 19:30:00	109450	109550	109400	109450	7156	0	Finished
18.12.2018 19:45:00	109460	109550	109250	109290	6519	0	Finished
18.12.2018 20:00:00	109290	109570	109230	109510	5813	0	Finished
18.12.2018 20:15:00	109500	109580	109380	109400	4792	0	Finished
18.12.2018 20:30:00	109400	109560	109320	109510	2858	0	Finished
18.12.2018 20:45:00	109510	109780	109430	109620	5978	0	Finished
18.12.2018 21:00:00	109620	109650	109360	109510	4017	0	Finished
18.12.2018 21:15:00	109500	109500	109360	109420	1617	0	Finished
18.12.2018 21:30:00	109430	109480	109340	109380	2188	0	Finished
18.12.2018 21:45:00	109380	109400	109210	109250	3634	0	Finished
18.12.2018 22:00:00	109250	109460	109230	109350	3996	0	Finished
18.12.2018 22:15:00	109350	109360	109040	109090	7489	0	Finished
18.12.2018 22:30:00	109090	109210	108830	108840	7778	0	Finished
18.12.2018 22:45:00	108840	109010	108800	108850	9166	0	Finished
18.12.2018 23:00:00	108850	108900	108730	108870	4940	0	Finished
18.12.2018 23:15:00	108870	108960	108750	108830	3828	0	Finished
18.12.2018 23:30:00	108840	108980	108830	108940	2832	0	Finished
18.12.2018 23:45:00	108940	109070	108920	109010	1463	0	Finished
19.12.2018 10:00:00	109030	109480	108940	109200	15054	0	Finished
19.12.2018 10:15:00	109200	109450	108960	109360	11820	0	Finished
19.12.2018 10:30:00	109360	109790	109250	109780	12220	0	Finished
19.12.2018 10:45:00	109790	109940	109630	109770	14742	0	Finished
19.12.2018 11:00:00	109770	109900	109580	109820	11427	0	Finished
19.12.2018 11:15:00	109820	110070	109820	109930	13123	0	Finished
19.12.2018 11:30:00	109920	109930	109740	109840	6180	0	Finished
19.12.2018 11:45:00	109820	109860	109640	109650	6134	0	Finished
19.12.2018 12:00:00	109660	109680	109280	109630	14599	0	Finished
19.12.2018 12:15:00	109630	109700	109530	109590	4812	0	Finished
19.12.2018 12:30:00	109580	109580	109370	109410	9097	0	Finished
19.12.2018 12:45:00	109410	109640	109380	109440	8162	0	Finished
19.12.2018 13:00:00	109430	109760	109420	109740	5830	0	Finished
19.12.2018 13:15:00	109730	109820	109480	109650	7762	0	Finished
19.12.2018 13:30:00	109650	109650	109330	109430	8227	0	Finished
19.12.2018 13:45:00	109430	109450	109270	109360	6842	0	Finished
19.12.2018 14:00:00	109360	109580	109330	109520	5537	0	Finished
19.12.2018 14:15:00	109500	109570	109360	109470	5405	0	Finished
19.12.2018 14:30:00	109460	109480	108900	109140	15343	0	Finished
19.12.2018 14:45:00	109140	109290	109050	109180	7732	0	Finished
19.12.2018 15:00:00	109180	109190	109010	109150	4647	0	Finished
19.12.2018 15:15:00	109150	109240	109050	109110	3743	0	Finished
19.12.2018 15:30:00	109120	109220	108950	109050	5515	0	Finished
19.12.2018 15:45:00	109040	109140	108970	109090	3773	0	Finished
19.12.2018 16:00:00	109090	109120	108500	108860	19555	0	Finished
19.12.2018 16:15:00	108850	108900	108580	108690	11208	0	Finished
19.12.2018 16:30:00	108680	108890	108630	108840	5232	0	Finished
19.12.2018 16:45:00	108840	108860	108600	108690	8071	0	Finished
