<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],5,20180912,145000,105690.000000,105760.000000,105680.000000,105740.000000,178.000000
RIZ8 [SPBFUT],5,20180912,145500,105740.000000,105810.000000,105740.000000,105750.000000,223.000000
RIZ8 [SPBFUT],5,20180912,150000,105800.000000,106000.000000,105800.000000,105800.000000,392.000000
RIZ8 [SPBFUT],5,20180912,150500,105800.000000,105820.000000,105750.000000,105780.000000,44.000000
RIZ8 [SPBFUT],5,20180912,151000,105770.000000,105800.000000,105730.000000,105740.000000,177.000000
RIZ8 [SPBFUT],5,20180912,151500,105720.000000,105730.000000,105710.000000,105720.000000,100.000000
RIZ8 [SPBFUT],5,20180912,152000,105710.000000,105730.000000,105630.000000,105680.000000,305.000000
RIZ8 [SPBFUT],5,20180912,152500,105680.000000,105730.000000,105680.000000,105730.000000,32.000000
RIZ8 [SPBFUT],5,20180912,153000,105800.000000,105880.000000,105780.000000,105840.000000,82.000000
RIZ8 [SPBFUT],5,20180912,153500,105770.000000,105790.000000,105760.000000,105770.000000,14.000000
RIZ8 [SPBFUT],5,20180912,154000,105830.000000,105830.000000,105730.000000,105730.000000,42.000000
RIZ8 [SPBFUT],5,20180912,154500,105760.000000,105800.000000,105730.000000,105730.000000,67.000000
RIZ8 [SPBFUT],5,20180912,155000,105750.000000,105770.000000,105730.000000,105770.000000,11.000000
RIZ8 [SPBFUT],5,20180912,155500,105850.000000,105850.000000,105720.000000,105740.000000,52.000000
RIZ8 [SPBFUT],5,20180912,160000,105810.000000,105920.000000,105780.000000,105900.000000,101.000000
RIZ8 [SPBFUT],5,20180912,160500,105900.000000,105910.000000,105810.000000,105840.000000,31.000000
RIZ8 [SPBFUT],5,20180912,161000,105830.000000,105860.000000,105800.000000,105850.000000,116.000000
RIZ8 [SPBFUT],5,20180912,161500,105860.000000,105900.000000,105840.000000,105840.000000,104.000000
RIZ8 [SPBFUT],5,20180912,162000,105850.000000,105850.000000,105710.000000,105710.000000,56.000000
RIZ8 [SPBFUT],5,20180912,162500,105740.000000,105820.000000,105700.000000,105700.000000,100.000000
RIZ8 [SPBFUT],5,20180912,163000,105710.000000,105830.000000,105690.000000,105820.000000,28.000000
RIZ8 [SPBFUT],5,20180912,163500,105770.000000,105770.000000,105740.000000,105740.000000,6.000000
RIZ8 [SPBFUT],5,20180912,164000,105760.000000,105830.000000,105760.000000,105830.000000,5.000000
RIZ8 [SPBFUT],5,20180912,164500,105900.000000,105970.000000,105900.000000,105900.000000,54.000000
RIZ8 [SPBFUT],5,20180912,165000,105860.000000,105860.000000,105800.000000,105850.000000,18.000000
RIZ8 [SPBFUT],5,20180912,165500,105880.000000,105880.000000,105810.000000,105810.000000,3.000000
RIZ8 [SPBFUT],5,20180912,170000,105900.000000,106060.000000,105900.000000,105910.000000,97.000000
RIZ8 [SPBFUT],5,20180912,170500,105930.000000,105950.000000,105900.000000,105900.000000,155.000000
RIZ8 [SPBFUT],5,20180912,171000,105870.000000,105870.000000,105820.000000,105820.000000,39.000000
RIZ8 [SPBFUT],5,20180912,171500,105800.000000,105800.000000,105660.000000,105690.000000,118.000000
RIZ8 [SPBFUT],5,20180912,172000,105680.000000,105680.000000,105450.000000,105450.000000,405.000000
RIZ8 [SPBFUT],5,20180912,172500,105500.000000,105530.000000,105480.000000,105520.000000,54.000000
RIZ8 [SPBFUT],5,20180912,173000,105510.000000,105750.000000,105400.000000,105710.000000,159.000000
RIZ8 [SPBFUT],5,20180912,173500,105670.000000,105830.000000,105670.000000,105820.000000,33.000000
RIZ8 [SPBFUT],5,20180912,174000,105840.000000,105840.000000,105700.000000,105700.000000,16.000000
RIZ8 [SPBFUT],5,20180912,174500,105650.000000,105670.000000,105540.000000,105540.000000,77.000000
RIZ8 [SPBFUT],5,20180912,175000,105530.000000,105550.000000,105450.000000,105530.000000,117.000000
RIZ8 [SPBFUT],5,20180912,175500,105530.000000,105680.000000,105530.000000,105540.000000,129.000000
RIZ8 [SPBFUT],5,20180912,180000,105500.000000,105540.000000,105410.000000,105520.000000,155.000000
RIZ8 [SPBFUT],5,20180912,180500,105490.000000,105490.000000,105320.000000,105410.000000,103.000000
