<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],Daily,20170119,000000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],Daily,20170531,000000,102530.000000,102530.000000,101150.000000,101150.000000,4.000000
RIZ8 [SPBFUT],Daily,20170607,000000,98500.000000,98500.000000,98500.000000,98500.000000,1.000000
RIZ8 [SPBFUT],Daily,20170614,000000,98760.000000,98760.000000,97470.000000,97470.000000,4.000000
RIZ8 [SPBFUT],Daily,20170615,000000,95880.000000,95880.000000,93860.000000,94810.000000,15.000000
RIZ8 [SPBFUT],Daily,20170619,000000,95910.000000,95910.000000,95910.000000,95910.000000,4.000000
RIZ8 [SPBFUT],Daily,20170623,000000,94240.000000,94380.000000,94240.000000,94380.000000,9.000000
RIZ8 [SPBFUT],Daily,20170626,000000,95950.000000,95950.000000,95950.000000,95950.000000,3.000000
RIZ8 [SPBFUT],Daily,20170627,000000,96080.000000,96080.000000,94000.000000,94000.000000,4.000000
RIZ8 [SPBFUT],Daily,20170628,000000,96410.000000,96410.000000,96410.000000,96410.000000,1.000000
RIZ8 [SPBFUT],Daily,20170630,000000,96900.000000,96900.000000,96900.000000,96900.000000,3.000000
RIZ8 [SPBFUT],Daily,20170703,000000,96580.000000,96580.000000,96500.000000,96500.000000,4.000000
RIZ8 [SPBFUT],Daily,20170712,000000,98330.000000,98690.000000,98330.000000,98690.000000,3.000000
RIZ8 [SPBFUT],Daily,20170713,000000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],Daily,20170714,000000,99500.000000,99990.000000,99500.000000,99990.000000,3.000000
RIZ8 [SPBFUT],Daily,20170721,000000,100900.000000,100900.000000,100900.000000,100900.000000,16.000000
RIZ8 [SPBFUT],Daily,20170803,000000,99510.000000,100500.000000,99510.000000,100500.000000,10.000000
RIZ8 [SPBFUT],Daily,20170807,000000,99000.000000,101850.000000,99000.000000,101000.000000,22.000000
RIZ8 [SPBFUT],Daily,20170808,000000,101800.000000,102500.000000,101800.000000,102100.000000,46.000000
RIZ8 [SPBFUT],Daily,20170811,000000,100000.000000,100500.000000,99500.000000,100500.000000,3.000000
RIZ8 [SPBFUT],Daily,20170817,000000,100770.000000,100770.000000,100770.000000,100770.000000,1.000000
RIZ8 [SPBFUT],Daily,20170822,000000,101330.000000,101330.000000,100720.000000,101000.000000,252.000000
RIZ8 [SPBFUT],Daily,20170824,000000,101780.000000,101780.000000,101730.000000,101730.000000,2.000000
RIZ8 [SPBFUT],Daily,20170825,000000,103000.000000,103000.000000,103000.000000,103000.000000,2.000000
RIZ8 [SPBFUT],Daily,20170828,000000,103350.000000,103350.000000,103350.000000,103350.000000,1.000000
RIZ8 [SPBFUT],Daily,20170830,000000,104500.000000,104500.000000,104500.000000,104500.000000,1.000000
RIZ8 [SPBFUT],Daily,20170831,000000,105720.000000,107590.000000,105720.000000,107590.000000,3.000000
RIZ8 [SPBFUT],Daily,20170904,000000,106400.000000,107360.000000,105700.000000,106380.000000,11.000000
RIZ8 [SPBFUT],Daily,20170905,000000,107040.000000,107040.000000,105700.000000,106500.000000,28.000000
